name,performance rating
miho nonaka,41.16
stasa gejo,29.97
fanny gibert,27.65
brooke raboutou,27.6
futaba ito,27.39
petra klingler,26.39
martina buršíková,24.43
jain kim,24.36
chaehyun seo,23.64
zhilu luo,23.5
anastasia sanders,23.43
camilla moroni,21.16
sol sa,20.75
zélia avezou,19.62
hannah meul,19.42
ayala kerem,19.4
chloe caulier,19.05
ievgeniia kazbekova,18.06
nonoha kume,17.69
alannah yip,16.17
lucka rakovec,15.76
franziska sterrer,14.95
mia krampl,14.61
elnaz rekabi,14.43
tegwen oates,13.92
kyra condie,13.88
lucia dörffel,13.82
laura rogora,13.0
giorgia tesio,12.96
vita lukan,12.5
kylie cullen,12.29
valentina aguado,12.16
hélène janicot,11.94
ryu nakagawa,10.99
sandra hopfensitz,10.74
manon hily,10.24
maya stasiuk,9.86
erin mcneice,9.08
noa shiran,8.02
roxana wienand,7.95
eliska adamovska,7.61
molly thompson-smith,7.59
yejoo seo,7.31
lynn van der meer,6.71
sara copar,6.37
svana bjarnason,4.88
aleksandra totkova,4.82
michaela smetanova,4.5
