competition,name,country,position in 2023,top1 in 2023,zone1 in 2023,top2 in 2023,zone2 in 2023,top3 in 2023,zone3 in 2023,top4 in 2023,zone4 in 2023
Boulder & Lead IFSC World Championships Bern 2023 1-12 Aug,brooke raboutou,USA,2nd,1,1,2,2,inf,1,inf,2
Boulder & Lead IFSC World Championships Bern 2023 1-12 Aug,miho nonaka,JPN,5th,inf,3,inf,1,inf,4,2,1
Boulder FSC Asian Cup Riyadh 2023 12-16 Dec,elnaz rekabi,IRI,3rd,2,2,inf,1,2,2,inf,1
Boulder IFSC Asian Qualifier Jakarta 2023 9-12 Nov,zhilu luo,CHN,1st,inf,2,inf,7,2,2,1,1
Boulder IFSC Asian Qualifier Jakarta 2023 9-12 Nov,futaba ito,JPN,2nd,inf,7,inf,7,2,2,1,1
Boulder IFSC Asian Qualifier Jakarta 2023 9-12 Nov,chaehyun seo,KOR,4th,inf,5,inf,3,inf,2,1,1
Boulder IFSC Asian Qualifier Jakarta 2023 9-12 Nov,jain kim,KOR,5th,inf,6,inf,6,inf,3,inf,4
Boulder IFSC European Cup Chambéry 2023 7-8 Apr,martina buršíková,SVK,2nd,3,1,inf,6,inf,3,inf,3
Boulder IFSC European Cup Chambéry 2023 7-8 Apr,zélia avezou,FRA,5th,2,1,inf,2,inf,4,inf,inf
"Boulder IFSC European Cup Loverval 2023, 27-28th May",chloe caulier,BEL,1st,1,1,2,1,2,2,1,1
"Boulder IFSC European Cup Loverval 2023, 27-28th May",martina buršíková,SVK,3rd,2,2,inf,2,4,3,inf,1
Boulder IFSC European Qualifier Laval 2023 26-26 Oct,stasa gejo,SRB,1st,3,3,inf,4,1,1,1,1
Boulder IFSC European Qualifier Laval 2023 26-26 Oct,ievgeniia kazbekova,UKR,2nd,1,1,inf,2,1,1,inf,4
Boulder IFSC European Qualifier Laval 2023 26-26 Oct,zélia avezou,FRA,3rd,inf,1,1,1,2,2,inf,3
Boulder IFSC European Qualifier Laval 2023 26-26 Oct,lucia dörffel,GER,4th,2,1,inf,1,1,1,inf,3
Boulder IFSC European Qualifier Laval 2023 26-26 Oct,hannah meul,GER,5th,inf,1,inf,3,3,1,inf,4
Boulder IFSC Oceania Qualifier Melbourne 2023 24-26 Nov,maya stasiuk,AUS,1st,1,1,4,2,inf,1,2,1
Boulder IFSC South American Cup Curitiba 2023 1-3 Dec,valentina aguado,ARG,2nd,1,1,2,1,inf,2,inf,13
Boulder IFSC South American Cup Mar del Plata 2023 15-17 Dec,valentina aguado,ARG,2nd,2,1,1,1,1,1,3,3
Boulder IFSC World Championships Bern 2023 1-12 Aug,brooke raboutou,USA,3rd,1,1,inf,7,inf,2,1,1
Boulder IFSC World Championships Bern 2023 1-12 Aug,zélia avezou,FRA,4th,1,1,7,5,inf,3,inf,1
Boulder IFSC World Cup Brixen 2023 9-11 Jun,chaehyun seo,KOR,2nd,inf,6,1,1,1,1,1,1
Boulder IFSC World Cup Brixen 2023 9-11 Jun,stasa gejo,SRB,3rd,1,1,inf,1,1,1,3,3
Boulder IFSC World Cup Brixen 2023 9-11 Jun,ayala kerem,ISR,4th,5,5,inf,6,4,4,1,1
Boulder IFSC World Cup Hachioji 2023 21-23 Apr,brooke raboutou,USA,1st,2,2,inf,1,2,1,2,2
Boulder IFSC World Cup Hachioji 2023 21-23 Apr,hannah meul,GER,2nd,1,1,inf,2,inf,5,inf,inf
Boulder IFSC World Cup Hachioji 2023 21-23 Apr,ayala kerem,ISR,4th,inf,1,inf,4,inf,2,inf,inf
Boulder IFSC World Cup Hachioji 2023 21-23 Apr,zhilu luo,CHN,5th,inf,1,inf,1,inf,9,inf,inf
Boulder IFSC World Cup Innsbruck 2023 14-18 Jun,miho nonaka,JPN,3rd,1,1,1,1,inf,6,inf,5
Boulder IFSC World Cup Innsbruck 2023 14-18 Jun,brooke raboutou,USA,4th,3,3,2,2,inf,inf,inf,6
Boulder IFSC World Cup Prague 2023 2-4 Jun,miho nonaka,JPN,4th,1,1,inf,1,inf,inf,inf,1
