qualification participations in 2023,semi final participations in 2023,final participations in 2023,semi final percentage in 2023,final percentage in 2023,podiums in 2023,extended podiums in 2023,1st in 2023,2nd in 2023,3rd in 2023,4th in 2023,5th in 2023
7,1,1,14.29%,14.29%,1.0,1.0,0.0,0.0,1.0,0.0,0.0
9,0,0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,4,85.71%,57.14%,0.0,3.0,0.0,0.0,0.0,2.0,1.0
7,7,3,100.00%,42.86%,0.0,2.0,0.0,0.0,0.0,2.0,0.0
6,7,7,116.67%,116.67%,6.0,7.0,1.0,2.0,3.0,1.0,0.0
8,6,4,75.00%,50.00%,0.0,1.0,0.0,0.0,0.0,1.0,0.0
9,7,2,77.78%,22.22%,1.0,2.0,0.0,1.0,0.0,1.0,0.0
9,2,1,22.22%,11.11%,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5,0,0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1,50.00%,25.00%,1.0,1.0,0.0,0.0,1.0,0.0,0.0
8,2,1,25.00%,12.50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,2,33.33%,33.33%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,0,12.50%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,3,75.00%,37.50%,1.0,1.0,0.0,1.0,0.0,0.0,0.0
7,3,2,42.86%,28.57%,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,4,4,57.14%,57.14%,1.0,2.0,0.0,1.0,0.0,0.0,1.0
4,3,0,75.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5,3,62.50%,37.50%,2.0,2.0,1.0,1.0,0.0,0.0,0.0
7,2,2,28.57%,28.57%,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,0,1,0.00%,14.29%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4,0,57.14%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3,2,37.50%,25.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3,3,42.86%,42.86%,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,1,0,50.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0,33.33%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0,50.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,2,100.00%,50.00%,2.0,2.0,0.0,1.0,1.0,0.0,0.0
5,1,1,20.00%,20.00%,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5,4,1,80.00%,20.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7,6,87.50%,75.00%,2.0,4.0,1.0,0.0,1.0,1.0,1.0
4,2,0,50.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,0,33.33%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,1,75.00%,25.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,0,50.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,0,16.67%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,0,50.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,3,1,50.00%,16.67%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,0,25.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,5,50.00%,62.50%,2.0,3.0,1.0,0.0,1.0,0.0,1.0
4,0,0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,100.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3,3,42.86%,42.86%,2.0,3.0,0.0,2.0,0.0,0.0,1.0
3,2,0,66.67%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,0,40.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,5,3,55.56%,33.33%,1.0,3.0,1.0,0.0,0.0,0.0,2.0
8,5,4,62.50%,50.00%,1.0,3.0,0.0,0.0,1.0,1.0,1.0
