name,successful tops,total attempts,top percentage,average attempts per top
alannah yip,114,547,20.84,4.8
aleksandra totkova,14,158,8.86,11.29
anastasia sanders,39,229,17.03,5.87
ayala kerem,95,438,21.69,4.61
brooke raboutou,168,589,28.52,3.51
camilla moroni,111,588,18.88,5.3
chaehyun seo,98,387,25.32,3.95
chloe caulier,208,884,23.53,4.25
eliska adamovska,20,190,10.53,9.5
elnaz rekabi,68,325,20.92,4.78
erin mcneice,22,139,15.83,6.32
fanny gibert,319,1093,29.19,3.43
franziska sterrer,111,625,17.76,5.63
futaba ito,192,690,27.83,3.59
giorgia tesio,68,359,18.94,5.28
hannah meul,107,440,24.32,4.11
hélène janicot,24,97,24.74,4.04
ievgeniia kazbekova,127,523,24.28,4.12
jain kim,197,735,26.8,3.73
kylie cullen,52,292,17.81,5.62
kyra condie,96,527,18.22,5.49
laura rogora,67,380,17.63,5.67
lucia dörffel,57,298,19.13,5.23
lucka rakovec,47,244,19.26,5.19
lynn van der meer,7,60,11.67,8.57
manon hily,34,207,16.43,6.09
martina buršíková,25,98,25.51,3.92
maya stasiuk,10,64,15.62,6.4
mia krampl,54,325,16.62,6.02
michaela smetanova,4,81,4.94,20.25
miho nonaka,462,1255,36.81,2.72
molly thompson-smith,14,161,8.7,11.5
noa shiran,21,116,18.1,5.52
nonoha kume,15,56,26.79,3.73
petra klingler,339,1233,27.49,3.64
roxana wienand,41,276,14.86,6.73
ryu nakagawa,31,178,17.42,5.74
sandra hopfensitz,18,121,14.88,6.72
sara copar,13,91,14.29,7.0
sol sa,223,1003,22.23,4.5
stasa gejo,249,844,29.5,3.39
svana bjarnason,1,29,3.45,29.0
tegwen oates,2,24,8.33,12.0
valentina aguado,55,287,19.16,5.22
vita lukan,59,336,17.56,5.69
yejoo seo,9,90,10.0,10.0
zhilu luo,70,268,26.12,3.83
zélia avezou,53,207,25.6,3.91
