name,country,active years,career length,qualification participations,semi-final participations,final participations,semi-final percentage,final percentage,podiums,extended podiums,1st,2nd,3rd,4th,5th,successful tops,total attempts,top percentage,average attempts per top
alannah yip,CAN,2011-2023,12+ years,40,20,2,50.00%,5.00%,1.0,2.0,0.0,0.0,1.0,1.0,0.0,114,547,20.84,4.8
aleksandra totkova,BUL,2022-2023,1-2 years,13,0,0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,158,8.86,11.29
anastasia sanders,USA,2023-2023,1-2 years,7,6,4,85.71%,57.14%,1.0,3.0,0.0,0.0,1.0,1.0,1.0,39,229,17.03,5.87
ayala kerem,ISR,2020-2023,3-5 years,19,15,4,78.95%,21.05%,1.0,3.0,0.0,0.0,1.0,1.0,1.0,95,438,21.69,4.61
brooke raboutou,USA,2017-2023,6-8 years,27,19,14,70.37%,51.85%,14.0,14.0,3.0,7.0,4.0,0.0,0.0,168,589,28.52,3.51
camilla moroni,ITA,2019-2023,3-5 years,21,17,7,80.95%,33.33%,1.0,4.0,0.0,0.0,1.0,1.0,2.0,111,588,18.88,5.3
chaehyun seo,KOR,2019-2023,3-5 years,18,15,7,83.33%,38.89%,5.0,7.0,1.0,2.0,2.0,2.0,0.0,98,387,25.32,3.95
chloe caulier,BEL,2012-2023,9-12 years,59,28,4,47.46%,6.78%,0.0,3.0,0.0,0.0,0.0,1.0,2.0,208,884,23.53,4.25
eliska adamovska,CZE,2019-2023,3-5 years,12,2,1,16.67%,8.33%,0.0,1.0,0.0,0.0,0.0,0.0,1.0,20,190,10.53,9.5
elnaz rekabi,IRI,2014-2023,9-12 years,20,9,2,45.00%,10.00%,1.0,2.0,0.0,1.0,0.0,1.0,0.0,68,325,20.92,4.78
erin mcneice,GBR,2022-2023,1-2 years,9,2,1,22.22%,11.11%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,139,15.83,6.32
fanny gibert,FRA,2011-2023,12+ years,60,44,18,73.33%,30.00%,8.0,15.0,4.0,2.0,2.0,4.0,3.0,319,1093,29.19,3.43
franziska sterrer,AUT,2015-2023,9-12 years,36,18,2,50.00%,5.56%,0.0,2.0,0.0,0.0,0.0,1.0,1.0,111,625,17.76,5.63
futaba ito,JPN,2018-2023,6-8 years,32,30,13,93.75%,40.62%,6.0,10.0,0.0,3.0,3.0,3.0,1.0,192,690,27.83,3.59
giorgia tesio,ITA,2016-2023,6-8 years,23,9,2,39.13%,8.70%,0.0,1.0,0.0,0.0,0.0,1.0,0.0,68,359,18.94,5.28
hannah meul,GER,2017-2023,6-8 years,28,15,7,53.57%,25.00%,2.0,5.0,0.0,2.0,0.0,0.0,3.0,107,440,24.32,4.11
