competition,name,country,position,top1,zone1,top2,zone2,top3,zone3,top4,zone4
Boulder & Lead IFSC World Championships Bern 2023 1-12 Aug,brooke raboutou,USA,2nd,1.0,1.0,2.0,2.0,inf,1.0,inf,2.0
Boulder & Lead IFSC World Championships Bern 2023 1-12 Aug,miho nonaka,JPN,5th,inf,3.0,inf,1.0,inf,4.0,2.0,1.0
Boulder FSC Asian Cup Riyadh 2023 12-16 Dec,elnaz rekabi,IRI,2nd,2.0,2.0,inf,1.0,2.0,2.0,inf,1.0
"Boulder IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022 20-22 Oct",miho nonaka,JPN,1st,inf,1.0,1.0,1.0,2.0,1.0,inf,1.0
"Boulder IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022 20-22 Oct",chaehyun seo,KOR,2nd,3.0,2.0,inf,inf,1.0,1.0,inf,1.0
"Boulder IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022 20-22 Oct",brooke raboutou,USA,3rd,inf,6.0,3.0,3.0,inf,4.0,inf,1.0
"Boulder IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022 20-22 Oct",futaba ito,JPN,4th,inf,2.0,inf,inf,2.0,1.0,inf,1.0
"Boulder IFSC - Climbing World Cup (B&L) - Morioka, Iwate (JPN) 2022 20-22 Oct",mia krampl,SLO,5th,inf,4.0,inf,7.0,inf,3.0,inf,2.0
Boulder IFSC - Climbing World Cup (B) - Brixen (ITA) 2022 Brixen 10 - 12 Jun,zhilu luo,CHN,1st,2.0,1.0,inf,1.0,inf,4.0,3.0,3.0
Boulder IFSC - Climbing World Cup (B) - Brixen (ITA) 2022 Brixen 10 - 12 Jun,miho nonaka,JPN,2nd,1.0,1.0,inf,1.0,inf,1.0,inf,1.0
Boulder IFSC - Climbing World Cup (B) - Brixen (ITA) 2022 Brixen 10 - 12 Jun,hannah meul,GER,5th,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
Boulder IFSC - Climbing World Cup (B) - Meiringen (SUI) 2021 Meiringen 16 - 17 Apr,vita lukan,SLO,4th,inf,1.0,inf,2.0,inf,inf,inf,inf
Boulder IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022 Meiringen 8 - 10 Apr,futaba ito,JPN,4th,inf,4.0,inf,inf,inf,4.0,inf,inf
Boulder IFSC - Climbing World Cup (B) - Meiringen (SUI) 2022 Meiringen 8 - 10 Apr,stasa gejo,SRB,5th,inf,inf,inf,3.0,inf,inf,inf,inf
Boulder IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021 Salt Lake City 21 - 22 May,brooke raboutou,USA,2nd,1.0,1.0,1.0,1.0,2.0,1.0,inf,inf
Boulder IFSC - Climbing World Cup (B) - Salt Lake City (USA) 2021 Salt Lake City 21 - 22 May,miho nonaka,JPN,3rd,2.0,1.0,1.0,1.0,inf,inf,4.0,4.0
Boulder IFSC Asia - Continental Cup (B) - Manila (PHI) 2022 5-6 Nov,zhilu luo,CHN,1st,4.0,4.0,1.0,1.0,3.0,1.0,inf,4.0
Boulder IFSC Asia - Continental Cup (B) - Manila (PHI) 2022 5-6 Nov,chaehyun seo,KOR,2nd,1.0,1.0,4.0,4.0,4.0,1.0,inf,inf
Boulder IFSC Asia - Continental Cup (B) - Manila (PHI) 2022 5-6 Nov,sol sa,KOR,5th,1.0,1.0,inf,1.0,inf,1.0,inf,inf
Boulder IFSC Asian Qualifier Jakarta 2023 9-12 Nov,zhilu luo,CHN,1st,inf,2.0,inf,7.0,2.0,2.0,1.0,1.0
Boulder IFSC Asian Qualifier Jakarta 2023 9-12 Nov,futaba ito,JPN,2nd,inf,7.0,inf,7.0,2.0,2.0,1.0,1.0
Boulder IFSC Asian Qualifier Jakarta 2023 9-12 Nov,chaehyun seo,KOR,4th,inf,5.0,inf,3.0,inf,2.0,1.0,1.0
Boulder IFSC Asian Qualifier Jakarta 2023 9-12 Nov,jain kim,KOR,5th,inf,6.0,inf,6.0,inf,3.0,inf,4.0
Boulder IFSC Climbing Worldcup (B) - Canmore (CAN) 2011 Canmore 27 - 28 May,jain kim,KOR,1st,2.0,1.0,7.0,7.0,inf,4.0,3.0,2.0
Boulder IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011 Eindhoven 17 - 18 Jun,petra klingler,SUI,4th,1.0,1.0,inf,inf,inf,1.0,inf,inf
Boulder IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 TokyoWC 2 - 3 Jun,miho nonaka,JPN,2nd,2.0,2.0,3.0,3.0,inf,inf,1.0,1.0
Boulder IFSC Climbing Worldcup (B) - Hachioji (JPN) 2018 TokyoWC 2 - 3 Jun,stasa gejo,SRB,4th,inf,4.0,inf,inf,inf,inf,inf,1.0
"Boulder IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017 TokyoWC 6 - 7 May",miho nonaka,JPN,1st,1.0,1.0,inf,1.0,2.0,2.0,1.0,1.0
"Boulder IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017 TokyoWC 6 - 7 May",fanny gibert,FRA,3rd,1.0,1.0,inf,1.0,5.0,5.0,inf,5.0
"Boulder IFSC Climbing Worldcup (B) - Hachioji, Tokyo (JPN) 2017 TokyoWC 6 - 7 May",petra klingler,SUI,4th,1.0,1.0,inf,1.0,inf,inf,inf,3.0
Boulder IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2012 Innsbruck 18 - 19 May,jain kim,KOR,4th,inf,inf,2.0,2.0,inf,2.0,8.0,8.0
Boulder IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016 TyrolWC 20 - 21 May,sol sa,KOR,4th,inf,1.0,inf,1.0,inf,inf,inf,1.0
Boulder IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016 TyrolWC 20 - 21 May,miho nonaka,JPN,5th,2.0,1.0,3.0,2.0,5.0,4.0,3.0,3.0
Boulder IFSC Climbing Worldcup (B) - Kazo (JPN) 2009 WC Kazo 11 - 12 Apr,jain kim,KOR,2nd,inf,3.0,2.0,2.0,3.0,1.0,inf,inf
Boulder IFSC Climbing Worldcup (B) - Kazo (JPN) 2016 KazoWC 23 - 24 Apr,miho nonaka,JPN,2nd,inf,1.0,1.0,1.0,inf,2.0,2.0,2.0
Boulder IFSC Climbing Worldcup (B) - Kazo (JPN) 2016 KazoWC 23 - 24 Apr,petra klingler,SUI,3rd,inf,1.0,1.0,1.0,inf,inf,2.0,2.0
Boulder IFSC Climbing Worldcup (B) - Kazo (JPN) 2016 KazoWC 23 - 24 Apr,fanny gibert,FRA,4th,inf,3.0,1.0,1.0,inf,inf,inf,inf
Boulder IFSC Climbing Worldcup (B) - Kazo (JPN) 2016 KazoWC 23 - 24 Apr,chloe caulier,BEL,5th,inf,1.0,3.0,2.0,inf,5.0,inf,inf
Boulder IFSC Climbing Worldcup (B) - Laval (FRA) 2014 Laval 27 - 28 Jun,miho nonaka,JPN,2nd,2.0,1.0,1.0,1.0,3.0,3.0,inf,5.0
Boulder IFSC Climbing Worldcup (B) - Laval (FRA) 2014 Laval 27 - 28 Jun,fanny gibert,FRA,4th,2.0,1.0,3.0,3.0,5.0,3.0,inf,inf
Boulder IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 MeiringenWC 7 - 8 Apr,miho nonaka,JPN,2nd,inf,inf,inf,3.0,2.0,1.0,inf,2.0
Boulder IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 MeiringenWC 7 - 8 Apr,stasa gejo,SRB,3rd,inf,1.0,inf,inf,3.0,1.0,inf,1.0
Boulder IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 MeiringenWC 7 - 8 Apr,petra klingler,SUI,4th,inf,inf,inf,inf,3.0,2.0,inf,1.0
Boulder IFSC Climbing Worldcup (B) - Meiringen (SUI) 2018 MeiringenWC 13 - 14 Apr,fanny gibert,FRA,2nd,2.0,1.0,1.0,1.0,1.0,1.0,inf,inf
Boulder IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019 MeiringenWC 5 - 6 Apr,fanny gibert,FRA,4th,inf,inf,4.0,1.0,inf,1.0,inf,inf
Boulder IFSC Climbing Worldcup (B) - Meiringen (SUI) 2019 MeiringenWC 5 - 6 Apr,petra klingler,SUI,5th,inf,inf,1.0,1.0,inf,inf,inf,inf
